test,2024-05-15 00:00:00,0,-2
Test,2024-05-15 00:00:00,0,-2
test,2024-05-15 00:00:00,0,8
null,2024-05-16T10:20:38.543120Z,0,8
null,2024-05-16T10:20:39.569992600Z,0,8
null,2024-05-16T10:20:40.097301500Z,0,8
null,2024-05-16T10:20:40.515246200Z,0,8
null,2024-05-16T10:20:40.762555400Z,0,8
null,2024-05-16T10:20:40.941731900Z,0,8
null,2024-05-16T10:20:45.873087Z,0,8
null,2024-05-16T10:20:46.323322300Z,0,8
null,2024-05-16T10:20:46.487103Z,0,8
null,2024-05-16T10:20:46.651962500Z,0,8
null,2024-05-16T10:21:30.655685Z,0,8
null,2024-05-16T10:21:52.112726800Z,0,8
null,2024-05-16T10:21:54.639919800Z,0,0
null,2024-05-16T10:23:35.130647500Z,0,8
